,Interactor_A_ID,Interactor_B_ID
264,STM0756,STM4578
265,STM0530,STM2240
266,STM1178,STM1913
267,STM4486,STM4494
268,STM1750,STM2122
269,STM4196,STM4436
270,STM1525,STM2671
271,STM2865,STM3764
272,STM0625,STM3225
273,STM3140,STM4499
274,STM3928,STM4293
275,STM2639,STM3568
276,STM0741,STM2328
277,STM3607,STM4384
278,STM0789,STM1805
279,STM0066,STM1303
280,STM2097,STM2098
281,STM1571,STM1572
282,STM1251,STM3568
283,STM1258,STM1826
284,STM0893,STM4436
285,STM2039,STM2058
286,STM4452,STM4565
287,STM2250,STM2252
288,STM0976,STM2553
289,STM0794,STM0795
290,STM0626,STM0731
291,STM0023,STM3637
292,STM1540,STM2245
293,STM2545,STM3743
294,STM0902,STM3736
295,STM1956,STM3611
296,STM1545,STM4534
297,STM1471,STM2130
298,STM0279,STM0283
299,STM0127,STM2428
300,STM1576,STM3476
301,STM0141,STM2362
302,STM2829,STM3836
303,STM0703,STM3986
304,STM3435,STM3436
305,STM1093,STM3755
306,STM0695,STM4584
307,STM2108,STM2111
308,STM1725,STM1824
309,STM4184,STM4425
310,STM2885,STM2887
311,STM2336,STM4088
312,STM2867,STM2892
313,STM1180,STM1956
314,STM2298,STM4456
315,STM1795,STM3735
316,STM1982,STM2924
317,STM0731,STM2245
318,STM0577,STM1005
319,STM4469,STM4578
320,STM1385,STM3756
321,STM3414,STM4096
322,STM0559,STM2619
323,STM0043,STM4391
324,STM2401,STM2414
325,STM3524,STM3525
326,STM1404,STM2878
327,STM0136,STM0406
328,STM1410,STM3121
329,STM0999,STM3186
330,STM0517,STM0906
331,STM2865,STM2885
332,STM1554,STM2152
333,STM1828,STM3703
334,STM1751,STM4290
335,STM1296,STM1990
336,STM1173,STM1184
337,STM0604,STM2281
338,STM0279,STM0571
339,STM0523,STM2697
340,STM1545,STM4417
341,STM1751,STM3320
342,STM1026,STM1055
343,STM1222,STM1226
344,STM0731,STM1729
345,STM3827,STM4417
346,STM1445,STM2781
347,STM1142,STM2123
348,STM2496,STM3266
349,STM0489,STM2451
350,STM0122,STM3570
351,STM2916,STM3624
352,STM0236,STM4023
353,STM2706,STM2723
354,STM1384,STM1385
355,STM2461,STM2469
356,STM3571,STM3842
357,STM0776,STM3721
358,STM1961,STM1971
359,STM3468,STM3486
360,STM4496,STM4500
361,STM2266,STM2275
362,STM1440,STM4265
363,STM1142,STM2826
364,STM2270,STM3178
365,STM3753,STM3758
366,STM1556,STM2695
367,STM0210,STM2960
368,STM3668,STM3674
369,STM0794,STM0797
370,STM3733,STM3904
371,STM1813,STM2086
372,STM3418,STM3426
373,STM1970,STM1978
374,STM1240,STM2516
375,STM0132,STM2271
376,STM4030.S,STM4489
377,STM2231,STM2244
