,Interactor_A_ID,Interactor_B_ID,weight
226,STM0004,STM3244,878
227,STM3244,STM0004,878
228,STM0004,STM3612,207
229,STM3612,STM0004,207
230,STM0004,STM3828,174
231,STM3828,STM0004,174
232,STM0004,STM3905,952
233,STM3905,STM0004,952
234,STM0004,STM3996,816
235,STM3996,STM0004,816
236,STM0004,STM4424,158
237,STM4424,STM0004,158
238,STM0004,STM4427,158
239,STM4427,STM0004,158
240,STM0004,STM4436,158
241,STM4436,STM0004,158
242,STM0004,STM4489,204
243,STM4489,STM0004,204
244,STM0004,STM4500,167
245,STM4500,STM0004,167
246,STM0004,STM4578,269
247,STM4578,STM0004,269
248,STM0005,STM0230,226
249,STM0230,STM0005,226
250,STM0005,STM0404,171
251,STM0404,STM0005,171
252,STM0005,STM0589,254
253,STM0589,STM0005,254
254,STM0005,STM1548,171
255,STM1548,STM0005,171
256,STM0005,STM1642,183
257,STM1642,STM0005,183
258,STM0005,STM2080,252
259,STM2080,STM0005,252
260,STM0005,STM2084,180
261,STM2084,STM0005,180
262,STM0005,STM2105,180
263,STM2105,STM0005,180
264,STM0005,STM2109,237
265,STM2109,STM0005,237
266,STM0005,STM2365,220
267,STM2365,STM0005,220
268,STM0006,STM2648,171
269,STM2648,STM0006,171
270,STM0006,STM3506,172
271,STM3506,STM0006,172
272,STM0007,STM0110,172
273,STM0110,STM0007,172
274,STM0007,STM0128,177
275,STM0128,STM0007,177
276,STM0007,STM0131,170
277,STM0131,STM0007,170
278,STM0007,STM0152,939
279,STM0152,STM0007,939
280,STM0007,STM0166,372
281,STM0166,STM0007,372
282,STM0007,STM0182,175
283,STM0182,STM0007,175
284,STM0007,STM0190,174
285,STM0190,STM0007,174
286,STM0007,STM0330,172
287,STM0330,STM0007,172
288,STM0007,STM0393,386
289,STM0393,STM0007,386
290,STM0007,STM0431,168
291,STM0431,STM0007,168
292,STM0007,STM0572,396
293,STM0572,STM0007,396
294,STM0007,STM0573,384
295,STM0573,STM0007,384
296,STM0007,STM0643,458
297,STM0643,STM0007,458
298,STM0007,STM0682,386
299,STM0682,STM0007,386
300,STM0007,STM0685,735
301,STM0685,STM0007,735
302,STM0007,STM0698,554
303,STM0698,STM0007,554
304,STM0007,STM0772,666
305,STM0772,STM0007,666
306,STM0007,STM1203,735
307,STM1203,STM0007,735
308,STM0007,STM1220,386
309,STM1220,STM0007,386
310,STM0007,STM1289,484
311,STM1289,STM0007,484
312,STM0007,STM1290,759
313,STM1290,STM0007,759
314,STM0007,STM1318,278
315,STM1318,STM0007,278
316,STM0007,STM1326,773
317,STM1326,STM0007,773
318,STM0007,STM1349,922
319,STM1349,STM0007,922
320,STM0007,STM1378,855
321,STM1378,STM0007,855
322,STM0007,STM1433,372
323,STM1433,STM0007,372
324,STM0007,STM1469,168
325,STM1469,STM0007,168
326,STM0007,STM1488,386
327,STM1488,STM0007,386
328,STM0007,STM1651,397
329,STM1651,STM0007,397
330,STM0007,STM1712,160
331,STM1712,STM0007,160
332,STM0007,STM1729,173
333,STM1729,STM0007,173
334,STM0007,STM1780,484
335,STM1780,STM0007,484
336,STM0007,STM1781,371
337,STM1781,STM0007,371
338,STM0007,STM1888,855
339,STM1888,STM0007,855
340,STM0007,STM2081,191
341,STM2081,STM0007,191
342,STM0007,STM2083,207
343,STM2083,STM0007,207
344,STM0007,STM2104,207
345,STM2104,STM0007,207
346,STM0007,STM2117,162
347,STM2117,STM0007,162
348,STM0007,STM2122,323
349,STM2122,STM0007,323
350,STM0007,STM2141,851
351,STM2141,STM0007,851
352,STM0007,STM2261,457
353,STM2261,STM0007,457
354,STM0007,STM2296,458
355,STM2296,STM0007,458
356,STM0007,STM2321,397
357,STM2321,STM0007,397
358,STM0007,STM2340,983
359,STM2340,STM0007,983
360,STM0007,STM2341,892
361,STM2341,STM0007,892
362,STM0007,STM2403,927
363,STM2403,STM0007,927
364,STM0007,STM2405,484
365,STM2405,STM0007,484
366,STM0007,STM2432,581
367,STM2432,STM0007,581
368,STM0007,STM2433,852
369,STM2433,STM0007,852
370,STM0007,STM2474,988
371,STM2474,STM0007,988
372,STM0007,STM2526,171
373,STM2526,STM0007,171
374,STM0007,STM2527,457
375,STM2527,STM0007,457
376,STM0007,STM2536,244
377,STM2536,STM0007,244
378,STM0007,STM2576,457
379,STM2576,STM0007,457
380,STM0007,STM2758,851
381,STM2758,STM0007,851
382,STM0007,STM2792,160
383,STM2792,STM0007,160
384,STM0007,STM2829,371
385,STM2829,STM0007,371
386,STM0007,STM2848,397
387,STM2848,STM0007,397
388,STM0007,STM2952,737
389,STM2952,STM0007,737
390,STM0007,STM3063,154
391,STM3063,STM0007,154
392,STM0007,STM3068,589
393,STM3068,STM0007,589
394,STM0007,STM3070,759
395,STM3070,STM0007,759
396,STM0007,STM3076,950
397,STM3076,STM0007,950
398,STM0007,STM3207,597
399,STM3207,STM0007,597
400,STM0007,STM3253,589
401,STM3253,STM0007,589
402,STM0007,STM3294,207
403,STM3294,STM0007,207
404,STM0007,STM3336,838
405,STM3336,STM0007,838
406,STM0007,STM3359,774
407,STM3359,STM0007,774
408,STM0007,STM3601,396
409,STM3601,STM0007,396
410,STM0007,STM3613,381
411,STM3613,STM0007,381
412,STM0007,STM3681,386
413,STM3681,STM0007,386
414,STM0007,STM3704,467
415,STM3704,STM0007,467
416,STM0007,STM3780,589
417,STM3780,STM0007,589
418,STM0007,STM3861,384
419,STM3861,STM0007,384
420,STM0007,STM3915,212
421,STM3915,STM0007,212
422,STM0007,STM4062,957
423,STM4062,STM0007,957
424,STM0007,STM4078,839
425,STM4078,STM0007,839
426,STM0007,STM4081,552
427,STM4081,STM0007,552
428,STM0007,STM4085,875
429,STM4085,STM0007,875
430,STM0007,STM4110,581
431,STM4110,STM0007,581
432,STM0007,STM4221,785
433,STM4221,STM0007,785
434,STM0007,STM4229,226
435,STM4229,STM0007,226
436,STM0007,STM4329,160
437,STM4329,STM0007,160
438,STM0007,STM4366,153
439,STM4366,STM0007,153
440,STM0007,STM4415,751
441,STM4415,STM0007,751
442,STM0007,STM4539,384
443,STM4539,STM0007,384
444,STM0007,STM4540,396
445,STM4540,STM0007,396
446,STM0007,STM4567,564
447,STM4567,STM0007,564
448,STM0007,STM4585,766
449,STM4585,STM0007,766
450,STM0008,STM0421,173
451,STM0421,STM0008,173
452,STM0008,STM0846,789
453,STM0846,STM0008,789
454,STM0008,STM1136,193
455,STM1136,STM0008,193
456,STM0008,STM1322,490
457,STM1322,STM0008,490
458,STM0008,STM1577,177
459,STM1577,STM0008,177
460,STM0008,STM1764,177
461,STM1764,STM0008,177
462,STM0008,STM1899,181
463,STM1899,STM0008,181
464,STM0008,STM2272,326
465,STM2272,STM0008,326
466,STM0008,STM2499,194
467,STM2499,STM0008,194
468,STM0008,STM2854,177
469,STM2854,STM0008,177
470,STM0008,STM3008,173
471,STM3008,STM0008,173
472,STM0008,STM3144,177
473,STM3144,STM0008,177
474,STM0008,STM3842,629
475,STM3842,STM0008,629
476,STM0008,STM3993,228
477,STM3993,STM0008,228
478,STM0008,STM4130,606
479,STM4130,STM0008,606
480,STM0008,STM4499,181
481,STM4499,STM0008,181
482,STM0009,STM0371,394
483,STM0371,STM0009,394
484,STM0009,STM4275,394
485,STM4275,STM0009,394
486,STM0010,STM1174,229
487,STM1174,STM0010,229
488,STM0010,STM1291,229
489,STM1291,STM0010,229
490,STM0012,STM0013,985
491,STM0013,STM0012,985
492,STM0012,STM0049,370
493,STM0049,STM0012,370
494,STM0012,STM0067,343
495,STM0067,STM0012,343
496,STM0012,STM0087,313
497,STM0087,STM0012,313
498,STM0012,STM0088,276
499,STM0088,STM0012,276
500,STM0012,STM0094,747
501,STM0094,STM0012,747
502,STM0012,STM0113,235
503,STM0113,STM0012,235
504,STM0012,STM0133,630
505,STM0133,STM0012,630
506,STM0012,STM0136,554
507,STM0136,STM0012,554
508,STM0012,STM0189,311
509,STM0189,STM0012,311
510,STM0012,STM0224,248
511,STM0224,STM0012,248
512,STM0012,STM0244,171
513,STM0244,STM0012,171
514,STM0012,STM0272,624
515,STM0272,STM0012,624
516,STM0012,STM0331,211
517,STM0331,STM0012,211
518,STM0012,STM0402,339
519,STM0402,STM0012,339
520,STM0012,STM0423,221
521,STM0423,STM0012,221
522,STM0012,STM0433,427
523,STM0433,STM0012,427
524,STM0012,STM0443,191
